name,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),students_careers_url,hq_location,website,score
"Google, LLC","Software,Distributed Systems,Social media,Networking,Artificial Intelligence,Electronics",Public,2008,114000,66000,"16,500.00",https://careers.google.com/students/,Googleplex 1600 Amphitheatre Parkway,google.com,41.408962
Instagram,Other,Public,2010,450,18200,"14,000.00",https://www.instagram.com/about/jobs/,"Menlo Park, CA",instagram.com,40.124893
Microsoft Corporation,"Software,Consulting,Distributed Systems,Networking,Multimedia,Electronics",Public,1975,156400,143000,"53,000.00",https://careers.microsoft.com/us/en/,"Microsoft Redmond campus One Microsoft Way Redmond, WA",microsoft.com,36.36190584
International Business Machines Corporation,"Software,Distributed Systems,Artificial Intelligence,Electronics",Public,1911,352600,77100,"13,200.00",https://www.ibm.com/us-en/employment/entrylevel/,"Armonk, NY",ibm.com,35.95286031
Apple Inc.,"Software,Consulting,Distributed Systems,Artificial Intelligence,Electronics",Public,1976,137000,275000,"66,300.00",https://www.apple.com/jobs/us/students.html,Apple Park 1 Apple Park Way Cupertino California,apple.com,35.03489507
Mozilla Corporation,Software,Private,2005,1000,451000,1.9,https://careers.mozilla.org/,"Mountain View, California",mozilla.org,35.00850822
Adobe Inc.,Software,Public,1982,22630,11200,"3,270.00",https://www.adobe.com/careers.html,Adobe World Headquarters,adobe.com,31.78704223
Oracle Corporation,"Software,Distributed Systems,Electronics",Public,1977,135000,39100,"13,900.00",https://www.oracle.com/corporate/careers/,"Redwood City, CA",oracle.com,30.52869902
"Zoom Video Communications, Inc.",Other,Public,2011,2530,62200,54.6,https://zoom.us/about,"San Jose , CA",zoom.us,30.51527304
"salesforce.com, inc.","Software,Distributed Systems",Public,1999,49000,17100,297,https://www.salesforce.com/company/careers/university-recruiting/,"San Francisco, CA",salesforce.com,30.49065023
Tripadvisor Inc.,Travel,Private,2000,4100,15600,126,https://careers.tripadvisor.com/,"Needham, MA",tripadvisor.com,29.97865312
"Slack Technologies, Inc.","Networking,Multimedia",Public,2009,1660,40100,600,https://slack.com/careers,"San Francisco, CA",slack.com,29.52086423
Overcast Media Inc.,Other,Private,2005,70,1000,0.2,https://overcast.fm/,"Dublin, Ireland",overcast.fm,29.20724746
"Dell Software, Inc.",Other,Public,1984,157000,92500,"2,620.00",https://jobs.dell.com/students,"Round Rock, TX",dell.com,29.1910906
Automattic Inc.,Networking,Private,2005,1270,299,155,https://automattic.com/work-with-us/,"San Francisco, CA",automattic.com,29.17279436
NewsBlur,Software,Private,2009,50,0.2,-,https://newsblur.com/,"New York City and San Francisco, United States",newsblur.com,29.08042674
"HubSpot, Inc.",Software,Public,2006,3390,675,57.9,https://www.hubspot.com/careers/students,"Cambridge, MA",hubspot.com,29.0333329
Pluralsight,Software,Public,2004,1700,316,9.6,https://www.pluralsight.com/careers,"Draper, UT",pluralsight.com,28.89656598
"Netflix, Inc.","Software,Multimedia",Public,1997,8600,20200,"2,600.00",https://jobs.netflix.com/,"Los Gatos, CA",netflix.com,28.7675388
WhatsApp,Other,Public,2009,55,5000,"4,000.00",https://www.facebook.com/careers/areas-of-work/whatsapp/,"Menlo Park, CA",whatsapp.com,28.35372738
Intel Corporation,Electronics,Public,1968,110800,719,22,https://jobs.intel.com/,"Santa Clara, CA",intel.com,28.26749399
HP Inc.,"Software,Electronics",Public,2015,56000,58750,"3,800.00",https://jobs.hp.com/en-us/Students-Graduates,"Palo Alto, CA",hp.com,27.7072588
SuccessFactors Inc.,Software,Private,2001,1450,501,201,https://www.sap.com/about/careers.html,"Walldorf, Germany",sap.com,27.49566952
VMware Inc.,Software,Public,1998,31000,8970,"2,050.00",https://careers.vmware.com/,"Palo Alto, California, United States",vmware.com,27.32342237
"JotForm, Inc.",Software,Private,2006,250,54,-,https://www.jotform.com/form-templates/gnhs-work-study,"San Francisco, California",jotform.com,27.08248626
Oculus,Other,Public,2012,330,100,1.2,https://www.oculus.com/careers/,"Menlo Park, CA",oculus.com,27.0434729
McAfee Corp.,Software,Public,1987,6770,2600,128,https://careers.mcafee.com/,"San Jose, CA",mcafee.com,27.03489558
Sony Corporation of America,Multimedia,Public,1960,114400,1300,800,https://www.sonyjobs.com/internships.html,Madison Avenue,sony.com,26.94198835
Zendesk,Other,Public,2007,3570,816,3.5,https://jobs.zendesk.com/us/en,"San Francisco, CA",zendesk.com,26.8758023
"Tableau Software, Inc.",Software,Private,2003,4180,1200,841,https://www.tableau.com/about/careers,"Seattle, WA",tableau.com,26.60354664
"Autodesk, Inc.",Software,Public,1982,10300,3270,343,https://www.autodesk.com/careers,"San Rafael, CA",autodesk.com,26.50938638
Check Point Software Technologies Ltd.,"Software,Consulting,Electronics,Security",Public,1993,5200,2000,882,https://careers.checkpoint.com/index.php?m=careers&a=jobs&country_code=BE,"San Carlos, CA",checkpoint.com,26.41754654
Cisco Webex,"Software,Networking,Multimedia",Public,1995,10000,380,"3,200.00",https://www.cisco.com/c/en/us/about/careers/working-at-cisco/students-and-new-graduate-programs.html,"San Jose, CA",webex.com,26.40760996
Cvent,"Software,Artificial Intelligence",Private,1999,3600,396,4.3,https://www.cvent.com/en/careers,"McLean, VA",cvent.com,26.39326375
"Red Hat, Inc.",Software,Private,1993,13400,3400,512,https://www.redhat.com/en/jobs,"Raleigh, NC",redhat.com,26.21662662
SendGrid,Software,Private,2009,500,112,2.8,https://sendgrid.com/careers/interns-new-grads/,"Denver, CO",sendgrid.com,26.20499912
"Dynatrace, Inc.","Software,Consulting,Data Analytics",Public,2005,2200,487,53.3,https://www.dynatrace.com/company/careers/,"Waltham, MA",dynatrace.com,26.18195756
"New Relic, Inc.",Other,Public,2008,1280,600,25,https://newrelic.com/about/careers,"San Francisco, CA",newrelic.com,26.17488166
SAS Institute Inc.,Software,Private,1976,13940,3300,"3,200.00",https://www.sas.com/en_us/careers.html,,sas.com,26.14055587
Siemens PLM Software,Software,Private,1997,7600,86.9,51.3,https://jobs.siemens.com/disw/jobs,,siemens.com,26.10524056
Wrike,Other,Private,2003,700,288,-,https://www.wrike.com/careers/,"San Jose, CA",wrike.com,26.0878715
"DocuSign, Inc.",Other,Public,2003,3910,974,55.5,https://www.docusign.com/company/careers,"San Francisco, CA",docusign.com,26.07974609
Dell EMC,"Software,Database",Public,1979,165000,90600,-,https://jobs.dell.com/students,"Hopkinton, MA",dellemc.com,26.04651782
Cloudinary,Software,Private,2011,200,60,1,https://cloudinary.com/jobs,"Santa Clara, CA",cloudinary.com,26.04210076
Seagate Technology PLC,"Software,Database",Public,1979,41000,10400,"1,050.00",https://www.seagate.com/jobs/university-programs/,"Cupertino, California Dublin Ireland",seagate.com,26.01801681
Splunk Inc.,Other,Public,2003,5000,2360,287,https://www.splunk.com/en_us/careers/university-recruiting.html,"San Francisco, CA",splunk.com,25.93823957
GE Automation & Controls,Automobiles,Public,1987,650,210,-,https://jobs.gecareers.com/global/en,"Boston, MA",ge.com,25.92692724
JW Player,Other,Private,2005,200,499,-,https://www.jwplayer.com/careers/,New York,jwplayer.com,25.88502094
Nuance Communications,Software,Private,1992,8200,1950,139,https://www.nuance.com/about-us/careers.html,"Burlington, MA",nuance.com,25.88273862
Janrain,Other,Private,2005,120,14.3,-,https://www.akamai.com/us/en/about/careers/,"Cambridge, MA",akamai.com,25.88111611
"Ripple Labs, Inc.",Software,Private,2012,550,12.7,12.7,https://ripple.com/company/careers/all-jobs/,"San Francisco, CA",ripple.com,25.844764
Pipedrive,Software,Private,2010,600,90,-,https://www.pipedrive.com/en/jobs,New York,pipedrive.com,25.8057036
Venmo,Other,Private,2009,200,300,163,https://venmo.com/about/jobs/,New York,venmo.com,25.80369721
Zend Technologies Ltd.,Software,Private,1999,360,5.6,-,https://www.perforce.com/careers,"Cupertino, CA",zend.com,25.80310021
Telerik,Software,Private,2002,600,1.5,-,https://www.telerik.com/campaigns/devcraft/student-license,,telerik.com,25.72511491
Qualtrics International Inc.,Other,Private,2001,3000,423,-,https://www.qualtrics.com/careers/,"Provo, UT",qualtrics.com,25.66833842
"Citrix Systems, Inc.","Software,Distributed Systems",Public,1998,8200,3010,629,https://jobs.citrix.com/,"Fort Lauderdale, FL",citrix.com,25.60978961
Malwarebytes Inc.,"Software,Consulting,Security",Private,2008,800,130,-,https://jobs.malwarebytes.com/,"Santa Clara, CA",malwarebytes.com,25.60767132
Smartsheet Inc.,Other,Public,2006,1590,176,-,https://www.smartsheet.com/careers,"Bellevue, WA",smartsheet.com,25.53469881
Pantheon,Software,Private,2010,100,3.6,-,https://pantheon.io/careers,"San Francisco, CA",pantheon.io,25.52087477
"The MathWorks, Inc.",Software,Private,1984,5000,1050,900,https://www.mathworks.com/company/jobs/students.html,"Natick, MA",mathworks.com,25.4495256
Data Domain Corporation,Other,Private,2001,777,79.8,-,https://jobs.dell.com/students,"Hopkinton, MA",emc.com,25.40714171
"G2 Crowd, Inc.","Software,Networking",Private,2012,360,26.7,26.7,https://culture.g2.com/careers,"Chicago, Illinois",g2.com,25.40324057
"Clover Network, Inc.",Other,Private,2012,200,91,14.6,https://careers.clover.com/,"Sunnyvale, CA",clover.com,25.40230697
Punchbowl.com,"Software,Consulting,Networking",Private,2006,30,201,79.4,https://www.punchbowlboyshighschoolcareers.com/,"Framingham, Massachusetts",punchbowl.com,25.40159228
"LivePerson, Inc.",Networking,Private,1995,1340,292,353,https://www.liveperson.com/company/careers/,"New York, NY",liveperson.com,25.33334337
"Brightcove, Inc.","Networking,Multimedia",Public,2004,610,185,109,https://www.brightcove.com/en/company/careers,"Boston, MA",brightcove.com,25.32642062
Panic Inc.,"Software,Multimedia",Private,1997,25,21.4,-,https://panic.com/jobs/,,panic.com,25.32035506
Magento,Other,Private,2008,810,1680,826,https://www.adobe.com/careers.html,"San Jose, CA",magento.com,25.29806683
Calm (company),Other,Private,2012,50,170,-,https://boards.greenhouse.io/calm,"San Francisco, CA",calm.com,25.28155623
"Wolfram Research, Inc.",Software,Private,1987,700,85.3,-,https://www.wolfram.com/company/careers/,"Champaign, IL",wolfram.com,25.24652316
Mindbody Inc.,Software,Private,2001,1350,139,21.3,https://company.mindbodyonline.com/careers,"San Luis Obispo, CA",mindbodyonline.com,25.13241072
"Juniper Networks, Inc.","Networking,Electronics",Public,1996,9400,4410,848,https://careers.juniper.net/,"Sunnyvale, CA",juniper.net,25.06931212
Brainshark,Other,Private,1999,250,65,20.9,https://www.brainshark.com/company/careers,"Waltham, MA",brainshark.com,25.00255943
"Medallia, Inc.",Other,Public,2001,1500,402,-,https://www.medallia.com/careers/,"San Francisco, CA",medallia.com,24.89543639
"Docker, Inc.",Software,Private,2008,500,273,92,https://www.docker.com/careers,"Palo Alto, CA",docker.com,24.84607008
Intuit Inc.,Software,Public,1983,9400,6780,"1,850.00",https://www.intuit.com/careers/programs/students-and-grads/,"Mountain View, CA",intuit.com,24.84507709
"OverDrive, Inc.","Software,Consulting",Private,1986,330,32.5,32.5,https://company.overdrive.com/careers/,"Cleveland, OH",overdrive.com,24.8430239
Synopsys,"Software,Consulting,Security",Public,1986,400,3360,433,https://www.synopsys.com/company/synopsys-careers.html,"Mountain View, CA",synopsys.com,24.82575362
"ThoughtWorks, Inc.",Software,Private,1993,7000,500,100,https://www.thoughtworks.com/careers/graduates,"Chicago, IL",thoughtworks.com,24.82288351
Dassault Systems,"Software,Aviation,Automobiles",Private,1981,700,155,-,https://careers.3ds.com/,,3ds.com,24.8069868
Remember The Milk Inc.,Other,Private,2005,10,135,-,https://www.rememberthemilk.com/about/jobs.rtm,"San Francisco, CA",rememberthemilk.com,24.80098309
Expensify,Software,Private,2008,130,100,50,https://we.are.expensify.com/,"San Francisco, CA",expensify.com,24.76177126
"eFileCabinet, Inc.",Software,Private,2001,104,30.6,11.5,https://www.efilecabinet.com/careers/,"Lehi, Utah",efilecabinet.com,24.7610884
"Bentley Systems, Inc.",Software,Public,1984,3800,700,-,https://www.bentley.com/en/about-us/careers,,bentley.com,24.75698757
Micro Focus Enterprise Security,"Software,Consulting,Security",Private,1976,12000,3350,"5,160.00",https://jobs.microfocus.com/,,microfocus.com,24.72438251
"Instructure, Inc.",Software,Private,2008,1291,210,72.4,https://www.instructure.com/about/careers,"Salt Lake City, UT",instructure.com,24.69238101
"Fortinet, Inc.","Software,Consulting,Networking,Security",Public,2000,6015,2160,110,https://www.fortinet.com/corporate/careers,"Sunnyvale, CA",fortinet.com,24.62554504
"Fastly, Inc.",Networking,Private,2011,700,200,64,https://www.fastly.com/about/careers,"San Francisco, CA",fastly.com,24.60728613
TIBCO Software Inc.,Software,Private,1997,4200,1,68.8,https://www.tibco.com/careers/university-program,"Palo Alto, CA",tibco.com,24.5957412
RSA Security LLC,"Consulting,Networking,Security",Private,1982,2700,226,147,https://jobs.rsa.com/students,"Bedford, MA",rsa.com,24.58447553
"Marketo, Inc.",Software,Private,2006,1300,321,1,https://www.marketo.com/education/,"San Mateo, CA",marketo.com,24.57319595
Looker,Software,Private,2012,500,140,28,https://looker.com/blog/interns-of-looker,"Santa Cruz, CA",looker.com,24.56518538
"Gigya, Inc.",Consulting,Private,2006,280,32.6,10.5,https://www.sap.com/about/careers.html,"Palo Alto, CA",gigya.com,24.56259915
Doximity Inc.,Networking,Private,2010,475,709,500,https://workat.doximity.com/positions/,"San Francisco, CA",doximity.com,24.52875759
"Fidelity National Information Services, Inc.",Other,Public,1968,55000,12200,-,https://www.fisglobal.com/en/careers,"Jacksonville, FL",fisglobal.com,24.50910535
Blockstream,Software,Private,2014,50,68.6,850,https://blockstream.com/careers/,,blockstream.com,24.48088173
Zoom Information Inc.,Software,Public,2007,1200,350,23.4,https://www.zoominfo.com/about/careers,"Waltham, MA",zoominfo.com,24.45253803
"RealNetworks, Inc.",Software,Public,1994,1060,172,21.7,https://www.realnetworks.com/careers,"Seattle, WA",realnetworks.com,24.45016284
"RetailMeNot, Inc.",Networking,Private,2006,500,249,-,https://www.retailmenot.com/corp/careers-engineering/,"Austin, TX",retailmenot.com,24.40591043
Snagajob,Networking,Private,2000,300,75,-,https://www.snagajob.com/student-jobs/,"Glen Allen, VA",snagajob.com,24.40305136
"NCR Netkey, Inc",Software,Public,1983,36000,-,-,https://www.ncr.com/careers,"East Haven, Conn",ncr.com,24.38629609
Progress Software,Software,Public,1981,1500,398,-,https://www.progress.com/company/careers,"Bedford, MA",progress.com,24.37540979
Rosetta Stone Inc.,Software,Public,1992,1375,265,18.4,https://www.rosettastone.com/careers/,"Arlington County, VA",rosettastone.com,24.37346156
Webroot Inc.,Software,Private,1997,600,215,-,https://www.webroot.com/us/en/about/careers,"Broomfield, CO",webroot.com,24.32653509
Inkling,Software,Private,2009,124,11.6,-,https://www.inkling.com/careers/,"San Francisco, CA",inkling.com,24.32113218
MarkLogic Corporation,Software,Private,2001,500,100,-,https://www.marklogic.com/company/careers/,"San Carlos, CA",marklogic.com,24.2849193
OpenText Exstream,Other,Private,1998,12200,2900,-,https://www.e-xstream.com/about-us/about-e-xstream/careers,"Lexington, Kentucky",opentext.com,24.28309081
The Omni Group,Software,Private,1989,101,0.2,-,https://www.omnigroup.com/jobs/,"Seattle, WA",omnigroup.com,24.28086066
Zello Inc,Other,Private,2011,40,10,-,https://zello.com/careers/,"Austin, TX",zello.com,24.28040685
