name,industry,type,founded,num_employees,revenue,stock price,student_careers_url
EPAM Systems,Software engineering,Public,-1,36700,2290000000,346.6300048828125,https://www.epam.com/careers
eReflect,Software,,2006,-1,-1,-1.0,
EVRYTHNG,,Private,-1,-1,-1,-1.0,https://www.topuniversities.com/student-info/careers-advice/everything-students-need-know-about-virtual-internships
eVoice,"Service,Business Services",Subsidiary,-1,-1,-1,-1.0,https://www.indeed.com/q-Automated-Voice-jobs.html
Eagle Investment Systems,Financial Services Technology,Subsidiary of BNY Mellon (NYSE: BK),-1,1000,-1,-1.0,https://jobs.bnymellon.com/jobs?keywords=Eagle%20Investment%20Systems&page=1
"Eastgate Systems, Inc.","Macintosh software industry  Windows software industry,Electronic publishing",corporation,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Easy Software Products,software,,1993,-1,-1,-1.0,https://www.ibm.com/us-en/employment/entrylevel/
Eclipsys Corporation,healthcare information technology,Public,-1,2800,519179999,5.869999885559082,
"Economic Development Research Group, Inc.",,,1997,-1,-1,-1.0,https://www.nber.org/career-resources
"Egenera, Inc.","cloud software,automation",,2000,110,-1,-1.0,https://www.mckinsey.com/careers/students
Eggplant,,,-1,-1,-1,-1.0,https://www.eggplantsoftware.com/join-us
"Elanex, Inc.",Translation services,Private company,2002,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"Electric Cloud, Inc.",Computer Software,Private,-1,0,-1,-1.0,http://electric-cloud.com/company/careers/?p=job%2FoNpV2fwT
"Embarcadero Technologies, Inc.","Software development,Web development,Database design,Database management system",Private company,-1,500,-1,-1.0,https://www.zippia.com/embarcadero-technologies-careers-62240/
Empirix Inc.,,Private,-1,-1,-1,-1.0,https://www.empirix.com/company/careers/jobs/
"Emplify, Inc.",Software as a Service,Private Company,2011,51,-1,-1.0,https://amplify.com/careers/
Encompass Technologies,"beverage industry,Beverage Distributing",Corporation,-1,-1,-1,-1.0,https://www.encompass8.com/careers
"Encore Software, LLC",Software Development and Distribution,Limited Liability Company,-1,-1,-1,-1.0,https://encore.org/
Energy Points,Enterprise Energy Management,,-1,-1,-1,-1.0,https://careers.centerpointenergy.com/
Enertia Software,software,,-1,-1,-1,-1.0,https://www.enertia-software.com/careers
Engagio Inc.,"Marketing,software",,2015,-1,-1,-1.0,https://www.engagio.com/careers/
Engels Maps Inc.,"publishing,travel,transportation",Private,-1,-1,-1,-1.0,https://jobs.td.com/en/
"Engineered Software, Inc.","Computer software,IT Consulting,Publishing",Private,-1,-1,-1,-1.0,https://www.computerscience.org/careers/software-engineer/
Engrade,,Learning management system,-1,-1,-1,-1.0,
"Enigma Technologies, Inc.","Data as a service,Open Data,Internet,Technology,Financial Services",Private,-1,75,-1,-1.0,https://enigma.com/careers/openings
Enli Health Intelligence,Software,Private,-1,125,25000000,-1.0,https://www.enli.net/
Enologix,,privately held,1989,-1,-1,-1.0,
"Enplug, Inc.",Software,Private,-1,-1,-1,-1.0,https://www.enplug.com/
Entagen,,,-1,-1,-1,-1.0,
Entellium,On-demand software,Private (defunct),-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Enterasys Networks,Computer network,,-1,-1,-1,-1.0,https://www.extremenetworks.com/company/careers/
EnterpriseAlumni Inc.,Computer software,Privately held company,-1,42,-1,-1.0,https://enterprisealumni.com/careers/
EnterpriseDB Corporation,"Software,database",Private,-1,-1,-1,-1.0,https://www.enterprisedb.com/
Divide (previously Enterproid),Enterprise mobility management,,-1,-1,-1,-1.0,https://careers.enterprise.com/internships
Enthought,Computer software,,2001,-1,-1,-1.0,https://www.enthought.com/careers/
"Entrust, Inc.",Online information and identity protection,Private,-1,350,-1,-1.0,https://www.entrust.com/careers
"Envivio, Inc.",Video software,Public,-1,500,50600000,110.33999633789062,
Epic Systems Corporation,"Information Technology,Health Informatics",Private,-1,10000,2900000000,-1.0,https://careers.epic.com/
Epicor,Computer software,Private,-1,4100,900000000,-1.0,https://jobs.epicor.com/
"Epiphany, Inc.",Computer software,Public,-1,-1,71500000,110.33999633789062,http://www.epiphanyinc.net/company/careers
Equitrac Corporation,document output management and cost recovery,Subsidiary,-1,-1,-1,-1.0,https://www.nuance.com/about-us/careers.html
"Ericom Software, Inc.","Software,Information Technology",Private,-1,-1,-1,-1.0,https://www.ericom.com/careers.asp
Esri,"Software,Geographic information system,Geographic Information Systems",Private,1969,3800,-1,-1.0,https://www.esri.com/en-us/about/careers/student-jobs
"Evergage, Inc.","Software as a Service,Web optimization,Website Optimization",,-1,-1,-1,-1.0,https://www.salesforce.com/company/careers/
Excite,,Portal,-1,-1,-1,-1.0,https://www.ucclermont.edu/careers
Exela Technologies,"Software,information technology",Public,-1,22000,-1,0.4050000011920929,https://www.exelatech.com/careers
Expensify,"Expense management,software",,-1,-1,-1,-1.0,https://we.are.expensify.com/
"Express Metrix, LLC",IT asset management software,Privately held,-1,-1,-1,-1.0,https://www.express.com/g/careers
OpenText Exstream,Document Management,,1998,-1,-1,-1.0,https://www.e-xstream.com/about-us/about-e-xstream/careers
Eze Castle Integration,IT infrastructure and services,Private,-1,700,-1,-1.0,https://www.eci.com/about-us/careers/
"F5, Inc.",Technology,Public,-1,5325,2161407000,110.33999633789062,https://www.f5.com/company/careers
Fair Isaac Corporation,Computer,Public,-1,3358,932170000,444.6000061035156,https://www.fico.com/en/careers
"Fidelity National Information Services, Inc.",Financial Sector,Public,-1,55000,12200000000,132.58999633789062,https://www.fisglobal.com/en/careers
"Facebook, Inc.","Social media,Advertising",Public,2004,52534,70697000000,110.33999633789062,https://www.facebook.com/careers/
"FacilitySource, Inc.","Facility management,Subsidiary",Private,-1,595,-1,-1.0,https://facilitysource.com/employment-opportunities/
Falafel Software Inc.,Computer software,Private,-1,19,-1,-1.0,
FalconStor Software,"software,Computer software",Public,-1,-1,-1,16.09000015258789,https://www.falconstor.com/careers/
FastSpring,SaaS,Private,-1,-1,-1,-1.0,https://fastspring.com/company/careers/
"Fastly, Inc.",Internet,,-1,700,-1,-1.0,https://www.fastly.com/about/careers
FatKat,,Private,-1,-1,-1,-1.0,https://www.fatkatspizzeria.com/careers
FellowshipOne,Church software,Privately held,-1,-1,-1,-1.0,https://www.fellowshipone.com/careers/
Fetch Softworks,software,,1989,-1,-1,-1.0,https://fetchsoftworks.com/
"SAP Fieldglass, Inc.",Software,Subsidiary,-1,1000,-1,-1.0,https://www.fieldglass.com/company/careers
"Figaro Systems, Inc.",,Private,-1,-1,-1,-1.0,https://career.asu.edu/5-benefits-developing-your-linkedin-profile
"Figure 53, LLC",Live entertainment Software Theatre,,2006,-1,-1,-1.0,https://figure53.com/
FinalCode,Computer Software,Private,2014,-1,-1,-1.0,https://www.dhs.gov/homeland-security-careers/students
"Financial Navigator, Inc",Computer software,Private,-1,0,-1,-1.0,"https://www.glassdoor.com/Job/financial-navigator-jobs-SRCH_KO0,19.htm"
FinancialForce,Computer Software,Private company,-1,750,-1,-1.0,https://www.financialforce.com/about/careers/
Firebase,,,-1,-1,-1,-1.0,
Firehole Composites,Composite Materials Analysis & Simulation,Private,-1,-1,-1,-1.0,https://en.wikipedia.org/wiki/Firehole_Composites
"FiscalNote, Inc.","Software as a service,information services,technology",Private,-1,475,-1,-1.0,https://careers.fiscalnote.com/positions/
Fishbowl Inventory,Software,Private,-1,150,-1,-1.0,https://www.fishbowlinventory.com/about/careers/
"Fixstars Solutions, Inc.","Operating system,s Services Software",Private,2008,-1,-1,-1.0,https://angel.co/company/fixstars-solutions/jobs
FlexGen Power Systems,,,-1,-1,-1,-1.0,https://www.glassdoor.com/Salary/FlexGen-Power-Systems-Salaries-E1396943.htm
FlexSim,,,-1,-1,-1,-1.0,https://www.flexsim.com/students/
Flexera,,Investment company,1988,-1,-1,-1.0,https://www.flexera.com/about-us/careers.html
FloQast,Software,Private,2013,151,-1,-1.0,https://floqast.com/company/careers/
flok,"Mobile computing,Mobile,Mobile app,Chatbots",Subsidiary,-1,-1,-1,-1.0,https://careers.flock.com/
"Flow Science, Inc.",Computational Fluid Dynamics Software,Private,-1,-1,-1,-1.0,https://flowscience.com/careers/
Folio Corporation,"Family history,Genealogy",Private,-1,-1,-1,-1.0,https://www.appfolioinc.com/careers
"Food Service Solutions, Inc.",Software,Private,-1,-1,-1,-1.0,https://www.usfoods.com/careers.html
"Forterra Systems, Inc.",software,,1998,-1,-1,-1.0,https://careers.epic.com/
Fortify,Computer software,Software Vendor,-1,-1,-1,-1.0,https://www.indeed.com/q-Fortify-Software-Security-jobs.html
"Fortinet, Inc.","Network security,computer security",Public,-1,6015,2160000000,119.51000213623047,https://www.fortinet.com/corporate/careers
Fort̩ Internet Software,,,-1,-1,-1,-1.0,
"FreeWave Technologies, Inc.",wireless RF Communications M2M IoT automation,Private,-1,0,-1,-1.0,https://www.freewave.com/about/careers/
Freefly Systems,Unmanned Aircraft Systems,,-1,70,-1,-1.0,https://freeflysystems.com/careers
Fungible Inc.,Data Center Technology,Privately held company,2015,200,-1,-1.0,https://www.fungible.com/careers/
"G2 Crowd, Inc.","Internet,Research,Business-to-business,Software as a service,SaaS",Private company,-1,360,-1,-1.0,https://culture.g2.com/careers
GE Automation & Controls,Industrial Automation and Controls,Private,-1,-1,-1,-1.0,https://jobs.gecareers.com/global/en
Global a Go-Go,,Album,-1,-1,-1,-1.0,http://www.goinglobal.com/
"GSE Systems, Inc.","Process control,Process Controls,Operator Training Simulator,Educational software,Educational Software",Public,-1,450,-1,1.0299999713897705,https://www.gses.com/contact-us/gse-careers/
Infor Nexus,"Supply-chain management,Trade Automation Software,Global trade automation,Enterprise software",Private,-1,-1,-1,-1.0,https://www.infor.com/about/careers
GTECH Corp.,"Lottery,Lotteries,Online gambling",Subsidiary,-1,-1,-1,-1.0,https://career.gatech.edu/
OpenText GXS,B2B e-Commerce,Subsidiary,-1,3000,480000000,-1.0,https://careers.opentext.com/
Gadget Flow Inc,"Online Retail,Internet Marketing",C Corp,2012,-1,-1,-1.0,https://thegadgetflow.com/apply/
"ecoATM, LLC",eCommerce,Private,-1,-1,-1,-1.0,https://www.abbott.com/careers/students.html
"Geeknet, Inc.","Online media,Retail",Subsidiary,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"GenArts, Inc.",Software,Private,-1,-1,-1,-1.0,https://borisfx.com/company/careers/
"General Software, Inc.",Computer software,,1989,-1,-1,-1.0,https://www.computerscience.org/careers/software-engineer/
Genesys,Customer experience,Private,-1,5935,2000000000,-1.0,https://www.genesys.com/company/careers
"Genuitec, LLC",Computer software,Private,-1,50,-1,-1.0,https://www.genuitec.com/company/careers/
GestureTek,,,1986,-1,-1,-1.0,
GhostTunes,Music,Private,2014,-1,-1,-1.0,https://www.amazon.jobs/en/business_categories/student-programs
Gigmax,"data backup,Data Backup,Data Synchronization,File hosting service",,-1,-1,-1,-1.0,
"Gigya, Inc.","Identity management,Customer identity management",Subsidiary,-1,280,-1,-1.0,https://www.sap.com/about/careers.html
Glitch,Software,Private,-1,32,-1,-1.0,https://glitch.com/about
Globalscape,"Managed File Transfer,Information Security,Network Management,SSH File Transfer Protocol,Secure File Transfer",Public,-1,-1,-1,-1.0,https://www.globalscape.com/careers
GlobeXplorer,"Websites,Aerial Photography,Geographic information system,Geographic Information Systems",,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"Glooko, Inc",Software,Private,-1,-1,-1,-1.0,https://www.glooko.com/careers/
"Gluster, Inc.","Software,computer storage",Privately funded,-1,60,-1,-1.0,https://www.mckinsey.com/careers/students
GoGuardian,Education Technology,,-1,-1,-1,-1.0,https://www.goguardian.com/careers/
Golden Software LLC,Scientific Software,Private company,-1,-1,-1,-1.0,https://www.goldensoftware.com/about/join-our-team
GoldenSource Corporation,"Enterprise Data Management,Financial Services",Private company,-1,350,-1,-1.0,https://www.thegoldensource.com/company/careers/
Good Technology,Software,Subsidiary,1996,-1,-1,-1.0,https://www.bestcolleges.com/careers/technology/
GoodData,Computer software,Private ,-1,291,-1,-1.0,https://www.gooddata.com/company/careers
GotoBus,"Travel,Technology",Private,-1,25,-1,-1.0,https://www.gotobus.com/aboutus/employment/
"GovBizConnect, Inc.",Software,Private,2015,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Goverlan Reach Remote Support Software,,,-1,-1,-1,-1.0,https://www.goverlan.com/jobs
"GrabCAD, Inc.",Mechanical Engineering,Public,-1,81,-1,110.33999633789062,https://resources.grabcad.com/jobs/
Graham Magnetics,Magnetic tape,Subsidiary,-1,-1,-1,-1.0,http://grahammagnetics.com/
"GrammaTech, Inc.",Software Quality,Private,-1,-1,-1,-1.0,https://www.grammatech.com/careers
GraphPad Prism,,,-1,-1,-1,-1.0,https://www.graphpad.com/how-to-buy/student/
Graphiq,,,-1,-1,-1,-1.0,https://www.learnhowtobecome.org/graphic-designer/
Graylog,"Enterprise software,Opensource software",Private,-1,11,-1,-1.0,https://www.graylog.org/careers
Green Hills Software Inc.,"Embedded system,software tools",Private,1982,-1,-1,-1.0,https://www.ghs.com/jobs_usa.html
GreenBytes,"Computer Software,IT Services",Private,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"Greenhouse Software, Inc.",,,2012,-1,-1,-1.0,https://www.greenhouse.io/careers
"GridApp Systems, Inc.",Computer software,Private,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
GridPoint,,,-1,-1,-1,-1.0,https://www.gridpoint.com/careers/
GroupLogic,Computer Software,Private,-1,40,-1,-1.0,
Groxis,"software,technology",,2001,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"Guidance Software, Inc.",Digital Forensics E-Discovery,Subsidiary,-1,371,91900000,-1.0,https://www.govtech.com/magazines/gt/Technology-Tools-Navigate-Students-Toward-Careers.html
"Guidance Solutions, Inc.","Information technology,Internet Services",Private,-1,-1,-1,-1.0,https://medium.com/@ravikumarnama/best-free-career-guidance-websites-for-students-39ccf9f3ac8c
"Guidewire Software, Inc.",P&C Insurance Software,Public,-1,-1,-1,104.52999877929688,https://careers.guidewire.com/students-graduates
Gupshup,Software,Private company,-1,-1,-1,-1.0,https://www.gupshupnyc.com/jobs/
Gupta Technologies,software,,1984,-1,-1,-1.0,https://dornsife.usc.edu/careerpathways/gupta-internship-fund/
Gusto,,,2011,-1,-1,-1.0,https://gusto.com/about/careers
"hCentive, Inc.",Software development,Private,-1,500,-1,-1.0,https://www.zippia.com/hcentive-careers-1398267/
Micro Focus Enterprise Security,"Security software,Enterprise Software",,-1,-1,-1,-1.0,https://www.hpe.com/us/en/about/jobs/students.html
HP Inc.,"Computer hardware,printer,printers",Public,2015,56000,58330000000,19.1299991607666,https://jobs.hp.com/en-us/Students-Graduates?prefilters=(%20ShortTextField2%20%3D%20%22Internship%22%20OR%20%20ShortTextField2%20%3D%20%22Graduate%22%20OR%20%20ShortTextField2%20%3D%20%22Apprenticeship%22%20%20)%20
"Halcyon Monitoring Solutions, Inc.","Enterprise Software,IT Services",Private,-1,-1,-1,-1.0,https://www.helpsystems.com/product-lines/halcyon
Handmark,Mobile Applications,Private,-1,100,-1,-1.0,https://www.lockheedmartinjobs.com/college-students
Harman Connected Services,"Telecommunication,Telecom,Outsourcing",Subsidiary,2001,30000,-1,-1.0,https://jobs.harman.com/
"HashiCorp, Inc.",,Private,2012,1000,-1,-1.0,https://www.hashicorp.com/jobs
Helion Energy Inc.,Nuclear fusion,Private,-1,-1,-1,-1.0,https://www.helionenergy.com/careers/
"Helix Software Company, Inc.",Software,Private company,-1,-1,-1,-1.0,https://helixre.com/careers/
HelloSociety,Marketing Communications,,-1,-1,-1,-1.0,https://hellosociety.com/
HelloWallet,"Software,Personal finance",Private,-1,60,-1,-1.0,https://www.bnymellon.com/us/en/careers/students.html
Help Scout,"Software,SaaS",Private,2011,100,-1,-1.0,https://www.helpscout.com/company/careers/
"HelpSystems, LLC",,Private,-1,955,-1,-1.0,https://www.helpsystems.com/about/careers
Hewlett Packard Enterprise Company,"Financial technology,Computer hardware,Computer software,Cloud computing,Internet of Things,Artificial intelligence,Computer networking",Public,2015,61600,28900000000,9.279999732971191,https://www.hpe.com/us/en/about/jobs/students.html
Hexnode,"Enterprise mobility management,software",,-1,-1,-1,-1.0,https://www.hexnode.com/mobile-device-management/
High Fidelity,,Private,-1,-1,-1,-1.0,https://jobs.fidelity.com/page/show/students
HyperACCESS,,,-1,-1,-1,-1.0,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/
Hillcrest Labs,technology,,2001,-1,-1,-1.0,https://hillcrestlabs.com/
Hitachi Data Systems,"Computer data storage,systems,software,Computer systems,Computer hardware,Computer software,IT consulting,IT services",A wholly owned subsidiary of ,-1,6300,-1,-1.0,https://www.hitachivantara.com/en-us/company/careers.html
"HoloBuilder, Inc.",Construction Technology,Construction,-1,-1,-1,-1.0,https://angel.co/company/holobuilder/jobs
"Holosofx, Inc.",,Privately held company ('''Acquired by ,-1,45,-1,-1.0,
"Honestech, Inc",Software,,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Honeywell Intelligrated,"Material Handling,Logistics Management",Public,-1,-1,-1,-1.0,https://careers.honeywell.com/us/en
Hoopla Software,Software as a service,Private Company,2010,35,-1,-1.0,https://www.hoopla.net/careers/
"Hortonworks, Inc.","Software,Computer software",Subsidiary,-1,1110,-1,-1.0,https://www.cloudera.com/careers/teams/university-recruiting.html
"Hottrix, LLC",Computer software,Domestic ,-1,-1,-1,-1.0,
"HubSpot, Inc.",Software,Public,-1,3387,674900000,336.2099914550781,https://www.hubspot.com/careers/students
Hubstaff,Corporate transparency,,2012,-1,-1,-1.0,https://hubstaff.com/jobs
Humanyze,Internet Software Computer Hardware,C corporation,2010,-1,-1,-1.0,https://www.humanyze.com/careers/
"Hyland Software, Inc.","Computer software,document management",Private,-1,3500,-1,-1.0,https://www.hyland.com/en/careers
Hyperloop Transportation Technologies,"High-speed transport,Crowdsourcing",Private,-1,800,-1,-1.0,https://virginhyperloop.com/careers
I-Logix Inc.,Software,,-1,133,-1,-1.0,https://www.logixbanking.com/careers/
"i.TV, LLC",,Second screen,-1,-1,-1,-1.0,https://www.itvjobs.com/
"I/Gear, Inc.",,Private,-1,-1,-1,-1.0,https://www.indeed.com/cmp/Gear-Up
International Business Machines Corporation,"Cloud computing,Artificial intelligence,Computer hardware,Computer software",Public,1911,352600,77140000000,114.7699966430664,https://www.ibm.com/us-en/employment/entrylevel/
IBM Cloud Object Storage,"object storage,cloud storage",,-1,-1,-1,-1.0,https://www.ibm.com/cloud/object-storage
"Imaging Business Machines, LLC",Computer software,private,-1,-1,-1,-1.0,https://www.ibm.com/employment/internationalstudents/
"iCIMS, Inc.",Software,Private,-1,1000,-1,-1.0,https://careers.icims.com/
iDroid USA,Smart Phones & Tablets,,2014,-1,-1,-1.0,
IGG Software Inc.,Computer software,,-1,9,-1,-1.0,https://www.iggsoftware.com/about.php
iModerate,Research Technologies,,-1,-1,-1,-1.0,https://www.imoderate.com/
ION Geophysical Corporation,Petroleum,Public,-1,500,-1,1.5,https://www.iongeo.com/careers/
IQMS,"Software,Computer Software",Private,1989,312,53500000,-1.0,https://www.iqms.com/company/careers/software-dev-intern
iRise,software,,1996,-1,-1,-1.0,https://www.iris.edu/hq/employment
ITA Software LLC,"Software,Travel",Subsidiary,-1,450,-1,-1.0,https://www.zippia.com/ita-software-careers-513200/
ITerating,Software,,-1,-1,-1,-1.0,https://resources.depaul.edu/career-center/Pages/default.aspx
iViZ Techno Solutions Pvt. Ltd.,"Information technology,Software,Data security,Information Security",Corporation,-1,-1,-1,-1.0,https://www.dhs.gov/homeland-security-careers/students
IZotope,"Software industry,Semiconductor intellectual property core,SIP licensing",,-1,-1,-1,-1.0,https://www.izotope.com/en/company/education/partners.html
"IceWarp, Inc.","Computer,Computer software,Information Technology,Communication,Security,Email",Private,-1,-1,-1,-1.0,https://www.icewarp.com/segments/education/
IdeaScale,"Innovation Management,Software",Private,-1,-1,-1,-1.0,https://ideascale.com/ideascale-careers/
"Idera, Inc.",software,,2000,-1,-1,-1.0,https://www.ideracorp.com/careers
Ignify,software,,1999,-1,-1,-1.0,https://www.purdue.edu/studentemployment/
Ilesfay Technology Group,Enterprise Software,Private,-1,-1,-1,-1.0,https://gust.com/companies/ilesfay
ImageSource Inc.,"Enterprise Content Management,Document Imaging,Document Management,Content Management",,-1,-1,-1,-1.0,https://imagesourceinc.com/career/
Impelsys,Electronic publishing,Private,2001,-1,-1,-1.0,https://www.impelsys.com/careers/
Imperva Inc.,IT security,Private,-1,1000,-1,-1.0,https://www.imperva.com/company/careers/
"Impinj, Inc.",RFID,Public,-1,208,-1,29.110000610351562,https://www.impinj.com/careers
Imply,"Software,Computer software",,-1,-1,-1,-1.0,https://imply.io/careers
inFORM Decisions,software,,1994,-1,-1,-1.0,https://www.k-state.edu/counseling/topics/career/career.html
InMarket,AdTech,Private,-1,100,-1,-1.0,https://inmarket.com/careers/
inXitu,X-ray instrumentation,Private,2007,-1,-1,-1.0,
Inbenta,"Natural language processing,artificial intelligence,Internet,information technology",AI Chatbots,-1,-1,-1,-1.0,https://www.inbenta.com/en/about-us/careers/
Incomit,telecommunications software,,2000,-1,-1,-1.0,https://thewomensfoundation.org/2010/low-income-students-and-career-choice/
Lockheed Martin Corporation,"Technology,Advanced Technologies,Information Security,Aerospace manufacturer,Aerospace,Defense,Defense",Public,-1,110000,59810000000,364.70001220703125,https://www.industrialdefender.com/careers/
Inedo,"Information Technology,Computer software",LLC,-1,-1,-1,-1.0,https://inedo.com/company/career-culture
InetSoft Technology Corporation,Business intelligence tools,Privately Owned,1996,-1,-1,-1.0,https://www.inetsoft.com/company/careers/
"InfiniDB, Inc.","Enterprise software,Database management,Data warehousing",,-1,-1,-1,-1.0,
Infinidat,Data storage,Private,-1,-1,-1,-1.0,https://hiring.infinidat.com/
InfoSec Institute,,,1998,-1,-1,-1.0,https://www.infosecinstitute.com/career-profiles/
"Infogix, Inc.",Information Technology,Private Equity,-1,455,-1,-1.0,https://www.infogix.com/careers/
Infor,Enterprise software,Private,2002,17000,2800000000,-1.0,https://www.infor.com/about/careers
Informatica,"Software,Software industry",Private,1993,4800,1050000000,-1.0,https://informatica.gr8people.com/
Information Builders (ibi),"Software,Consultant,consulting",Private,-1,1400,315000000,-1.0,https://www.ibi.com/careers/
Ingram Micro Inc.,Information Technology,Private,-1,33000,50800000000,-1.0,https://careers.ingrammicro.com/en/
Inkling,Software,,-1,-1,-1,-1.0,https://www.inkling.com/careers/
"Inner Four, Inc.",Computer software,Corporation,-1,-1,-1,-1.0,https://careers.insidehighered.com/
"IRI, The CoSort Company","Data processing,Sorting,Data integration,Test data,Data masking,Data conversion",Private,-1,-1,-1,-1.0,https://www.internationalstudent.com/jobsearch/
Inovalon,Technology,Public,-1,2500,-1,20.079999923706055,https://www.inovalon.com/careers/
Inphi Corporation,Semiconductors,Public,2000,685,365000000,147.9600067138672,https://www.inphi.com/careers/
Insight Enterprises,,Public,-1,11000,6700000000,64.9000015258789,https://www.insight.com/en_US/careers.html
Insight Technology,Arms industry,,-1,-1,-1,-1.0,https://www.insight.com/en_US/careers.html
Insilico Medicine,Biotechnology,Private,-1,-1,-1,-1.0,
Instabase,Software,Private,-1,-1,-1,-1.0,https://about.instabase.com/careers/
"Instructure, Inc.",Educational Technology,Subsidiary,-1,1291,209500000,-1.0,https://www.instructure.com/about/careers
Intego,"Computer software,Security software",Privately held company,-1,-1,-1,-1.0,https://www.intego.com/company/careers
"Integrated Computer Solutions, Inc.",Computer software,Private,-1,-1,-1,-1.0,https://icsinc.com/careers/
"Integration Point, Inc.","Global Trade Management,Supply Chain Management",Private,-1,-1,-1,-1.0,https://www.thomsonreuters.com/en/careers.html
Intel Corporation,"Semiconductor industry,Semiconductors",Public,1968,110800,71900000000,45.68000030517578,https://jobs.intel.com/
Intelisys,technology,,1994,-1,-1,-1.0,https://intelisys.com/about/careers/
IntelliCorp,Software,,1980,-1,-1,-1.0,https://jobs.intel.com/
IntelliScanner Corporation,"Software,Software publishing",Corporation,-1,-1,-1,-1.0,https://jobs.intel.com/
IntelliTrack,Software,,1989,-1,-1,-1.0,https://www.intellitrak.com/contact-us/employment/
Intentional Software,Software engineering,,2002,50,-1,-1.0,https://www.glassdoor.com/Interview/What-does-Intentional-Software-do-QTN_1922373.htm
InterCall,"Telecommunication,s and,Web conferencing",Subsidiary,-1,4000,-1,-1.0,http://www.intercallapac.com/about-us/careers-test.php
InterSystems,software,Private,-1,-1,-1,-1.0,https://www.intersystems.com/who-we-are/careers/
"Intercom, Inc.",Enterprise software,Private company,-1,630,-1,-1.0,https://www.intercom.com/careers
Intergraph Corporation,"Software,Geographic Information Systems",Subsidiary,-1,4000,808400000,-1.0,http://www.intergraph.com/global/eu/careers/default.aspx
"Interlink Computer Sciences, Inc.",,Network software,-1,-1,-1,-1.0,https://www.theladders.com/company/interlink-jobs
International Computer Science Institute,,,-1,-1,-1,-1.0,http://www.csinow.edu/join-the-team/
Internet Systems Consortium,,Network Engineering,-1,35,-1,-1.0,https://www.isc.org/careers/
"IntervalZero, Inc.",Computer software,Private,-1,-1,-1,-1.0,https://www.internships.com/posting/sam_3491824993
Intetics,"Information technology outsourcing,IT Outsourcing Services",Private,-1,-1,-1,-1.0,https://intetics.com/careers
Intuit Inc.,Enterprise software,Public,-1,9400,6784000000,350.9599914550781,https://www.intuit.com/careers/programs/students-and-grads/
Invite Media,Advertising,Subsidiary of ,-1,-1,-1,-1.0,http://www.invitemedia.com/careers/open_positions.html
Inxight Software,computer software,part of SAP AG,-1,100,14600000,-1.0,https://www.burning-glass.com/products/career-insight/
IonQ,Quantum computing,Private,-1,-1,-1,-1.0,https://iona.studentemployment.ngwebsolutions.com/cmx_content.aspx?cpid=10
"Ipswitch, Inc.","Application and network monitoring Information security,Managed file transfer",Private,-1,300,-1,-1.0,https://www.ipswitch.com/
IronPort,Computer security,Division,-1,-1,-1,-1.0,https://www.cisco.com/c/en/us/about/careers/working-at-cisco/students-and-new-graduate-programs.html
Iteris Inc.,,Public,2004,-1,114100000,4.269999980926514,https://www.iteris.com/careers
"ITKO (Interactive TKO, Inc.)","Computer software,Software testing,Service virtualization",Software,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"Itron, Inc.",Technology,Public,-1,8000,2000000000,68.47000122070312,https://www.itron.com/company/who-we-are/careers
Ivanti,IT Security and Systems Management Software,Private,-1,-1,-1,-1.0,https://www.ivanti.com/company/careers
"ivi, Inc.",Electronic commerce,Private company,-1,-1,-1,-1.0,https://www.thevalueinitiative.org/careers/
jKool,IT industry,Private,2014,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"JNBridge, LLC",Software,Private,-1,-1,-1,-1.0,
JW Player,,Private,2005,-1,-1,-1.0,https://www.jwplayer.com/careers/
"Jack Henry & Associates, Inc.",,Public,-1,0,1540000000,153.66000366210938,https://careers.jackhenry.com/
Jadu,"Software industry,Software",Private limited company by shares,-1,-1,-1,-1.0,https://www.jadu.net/careers
Janrain,,,-1,120,14300000,-1.0,https://www.akamai.com/us/en/about/careers/
JanusVR,,Private,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Jive,,,-1,-1,-1,-1.0,https://www.jivesoftware.com/company/
"Jobvite, Inc.",Software,Private,-1,450,-1,-1.0,https://jobs.jobvite.com/logitech/
"John Galt Solutions, Inc.","Supply Chain Management,Enterprise Software",Private company,-1,0,-1,-1.0,https://johngalt.com/careers/
"JotForm, Inc.",Technology,Private,2006,250,-1,-1.0,https://www.jotform.com/form-templates/gnhs-work-study
'''JouleX''',"Energy management,Energy Management",Division,-1,25,-1,-1.0,
July Systems,"Business analysis,Software,Location-based service",,2001,-1,-1,-1.0,https://www.naukri.com/july-systems-jobs-careers-541631
JumpSoft Inc,Computer Software,Private,-1,-1,-1,-1.0,
